,video_id,keywords,annotation
106,6808536938602040590,6月15日起持有效签证和居留许可的外国人将无法入境,假
107,6808538691502476556,6月15日起持有效签证和居留许可的外国人将无法入境,假
108,3x3q3hahn6m93cw,6月15日起持有效签证和居留许可的外国人将无法入境,假
109,3xqrdtygummwmr2,6月15日起持有效签证和居留许可的外国人将无法入境,假
110,3x432tjvxinwezy,6月15日起持有效签证和居留许可的外国人将无法入境,假
111,6846278828227136781,7月6日暴雨后，上海一公交车乘风破浪,假
112,6846393271279783183,7月6日暴雨后，上海一公交车乘风破浪,假
113,6846279291731315981,7月6日暴雨后，上海一公交车乘风破浪,假
114,6846363199571283207,7月6日暴雨后，上海一公交车乘风破浪,假
115,6846350151716588800,7月6日暴雨后，上海一公交车乘风破浪,假
116,6846323530779430152,7月6日暴雨后，上海一公交车乘风破浪,假
117,6846256034172964111,7月6日暴雨后，上海一公交车乘风破浪,假
118,6846302822405803268,7月6日暴雨后，上海一公交车乘风破浪,假
119,6846299323572030728,7月6日暴雨后，上海一公交车乘风破浪,假
120,6846303393753992448,7月6日暴雨后，上海一公交车乘风破浪,假
121,6846270187113630990,7月6日暴雨后，上海一公交车乘风破浪,假
122,7015131742344350984,7月6日暴雨后，上海一公交车乘风破浪,假
123,6723367944341998852,7月6日暴雨后，上海一公交车乘风破浪,真
124,6846239194554060047,7月6日暴雨后，上海一公交车乘风破浪,真
127,3xnytmuxj3q5yeu,8岁白血病女孩为减轻父母负担自拔氧气管离世,真
128,3x2t7ggzjjt2rxy,8岁白血病女孩为减轻父母负担自拔氧气管离世,假
129,3x7y3ftb2pw3hk4,8岁白血病女孩为减轻父母负担自拔氧气管离世,真
130,6631872122111134989,8岁白血病女孩为减轻父母负担自拔氧气管离世,假
131,6631908657430793476,8岁白血病女孩为减轻父母负担自拔氧气管离世,假
140,6846696067157855501,99％樱桃都用膨大剂,假
146,6799533163812048136,9人滞留湖北，吃光亲家三头猪,假
147,6799610832528477454,9人滞留湖北，吃光亲家三头猪,假
148,6799481768757054733,9人滞留湖北，吃光亲家三头猪,假
149,6799632132231728391,9人滞留湖北，吃光亲家三头猪,假
150,6799402620197932292,9人滞留湖北，吃光亲家三头猪,假
151,6800199936664292608,9人滞留湖北，吃光亲家三头猪,假
152,6799592807204949259,9人滞留湖北，吃光亲家三头猪,假
153,6799408811812736268,9人滞留湖北，吃光亲家三头猪,假
155,6799192188782742795,9人滞留湖北，吃光亲家三头猪,假
156,6799214625020710144,9人滞留湖北，吃光亲家三头猪,假
157,6799285650232282368,9人滞留湖北，吃光亲家三头猪,假
158,6799871964044397832,9人滞留湖北，吃光亲家三头猪,假
159,6921590353304833293,9人滞留湖北，吃光亲家三头猪,假
160,6799567742367255823,9人滞留湖北，吃光亲家三头猪,假
161,6799433567362370829,9人滞留湖北，吃光亲家三头猪,假
162,6799445735189368072,9人滞留湖北，吃光亲家三头猪,假
163,6799842434990755079,9人滞留湖北，吃光亲家三头猪,假
164,6799215193923603712,9人滞留湖北，吃光亲家三头猪,假
165,6799232523990748427,9人滞留湖北，吃光亲家三头猪,假
166,6799804611491302669,9人滞留湖北，吃光亲家三头猪,假
167,6799630077681356032,9人滞留湖北，吃光亲家三头猪,假
168,6799522394093538560,9人滞留湖北，吃光亲家三头猪,假
169,3xbzd2raj97hbni,9人滞留湖北，吃光亲家三头猪,假
170,3xfujiz7e7k5ute,9人滞留湖北，吃光亲家三头猪,假
180,3xq2wxtxsj9jut6,"C罗送医,尤文图斯全队隔离",假
183,6810563817186036992,X大学向“国际学生”发放助学补贴半年,假
184,7023555587845672204,“19岁逆行消防员背影”为烈士董泽鹏,假
186,6779859634711809283,“19岁逆行消防员背影”为烈士董泽鹏,假
191,6791087880077954318,“19岁逆行消防员背影”为烈士董泽鹏,假
192,6791103843804384523,“哈佛八剑客”临危回国,假
193,7018354482329177359,“哈佛八剑客”临危回国,假
194,7018071054258031876,“哈佛八剑客”临危回国,假
195,6790512189703867651,“哈佛八剑客”临危回国,假
196,7003652634578046222,“哈佛八剑客”临危回国,假
197,3xsszurwtabibs4,“哈佛八剑客”临危回国,假
198,3x3p585pre2uq8c,“哈佛八剑客”临危回国,假
199,6998054384126954752,“哈佛八剑客”临危回国,假
200,6983341699493874983,“哈佛八剑客”临危回国,假
201,6804199355738869004,“哈佛八剑客”临危回国,假
202,7024680548287139110,“哈佛八剑客”临危回国,假
209,7028054479111015692,“掐指”手势能报警,真
219,3x5828usxrrqke4,“水漫金山”在镇江上演,真
222,3x6hfvinryh5j7m,“随手拍”举报交通违法奖励,真
223,6924506575486930176,“随手拍”举报交通违法奖励,真
224,6852945157218766091,“随手拍”举报交通违法奖励,真
225,6948678821382081799,“随手拍”举报交通违法奖励,真
226,3xtgnmm6ti7dax2,“随手拍”举报交通违法奖励,真
227,7026286039853550882,一儿童在浏阳北正西三楼钓鱼池内触电身亡,真
228,3xsi8gvqrjis9uc,一儿童在浏阳北正西三楼钓鱼池内触电身亡,真
229,3x6darptsdf5ic9,一儿童在浏阳北正西三楼钓鱼池内触电身亡,真
230,3xvn2qdxfupbtn2,一儿童在浏阳北正西三楼钓鱼池内触电身亡,真
231,3xj7dnpbsrjnctw,一儿童在浏阳北正西三楼钓鱼池内触电身亡,真
232,6976553646884490527,一儿童在浏阳北正西三楼钓鱼池内触电身亡,真
233,7039973983286054179,一带一路从浙江义乌至英国伦敦的陆运火车,假
234,6868092030178839815,一带一路从浙江义乌至英国伦敦的陆运火车,假
235,7034494607262059776,一带一路从浙江义乌至英国伦敦的陆运火车,假
236,7060192184368221454,一带一路从浙江义乌至英国伦敦的陆运火车,假
237,7031891728529394982,一带一路从浙江义乌至英国伦敦的陆运火车,假
238,6922861288834075908,一带一路从浙江义乌至英国伦敦的陆运火车,假
239,6925389180478442756,一带一路从浙江义乌至英国伦敦的陆运火车,假
240,6877333959764757768,一带一路从浙江义乌至英国伦敦的陆运火车,假
241,7042498832483028257,一带一路从浙江义乌至英国伦敦的陆运火车,假
242,7060231048436665640,一带一路从浙江义乌至英国伦敦的陆运火车,假
243,6952424015675886855,一把粗盐一把口水破车窗玻璃,假
244,6596996733048196360,一把粗盐一把口水破车窗玻璃,假
245,7019257441250544904,一把粗盐一把口水破车窗玻璃,假
246,6826694516725124363,一次违停收到两张罚单,真
247,3xakxrebxzvt9ym,一次违停收到两张罚单,真
248,6818512388380282115,一次违停收到两张罚单,真
249,3xkv3tjmzcqvn9c,一次违停收到两张罚单,真
250,3xw3y8ahpfbefak,一次违停收到两张罚单,真
251,3x7t93y4spz9vce,一次违停收到两张罚单,真
252,6829139570873863435,一次违停收到两张罚单,真
253,6626546582256880904,一次违停收到两张罚单,假
254,3xxhymwfjqiwaqk,一次违停收到两张罚单,真
255,3xd2pmsy6jz5t64,一次违停收到两张罚单,真
256,6867415299667315980,一次违停收到两张罚单,真
257,3xe35cdfnkit36c,一次违停收到两张罚单,真
258,3xrrf488kbvfniw,一次违停收到两张罚单,真
259,6876307200378146059,一男孩斑马线滑倒，后脑着地身亡,假
260,6875943585640975629,一男孩斑马线滑倒，后脑着地身亡,假
261,6692975444850986251,一男孩斑马线滑倒，后脑着地身亡,真
262,6735274778426395916,一男孩斑马线滑倒，后脑着地身亡,假
263,6707521283178958083,一男孩斑马线滑倒，后脑着地身亡,假
264,6708130500130770188,一男孩斑马线滑倒，后脑着地身亡,假
265,6848416927472176391,一男孩斑马线滑倒，后脑着地身亡,假
267,6710765185000361223,一男孩斑马线滑倒，后脑着地身亡,假
270,7023193130031713575,一颗白菜38.6元,真
271,7021383978431106311,一颗白菜38.6元,真
272,7035537991837699368,一颗白菜38.6元,真
273,7021444066311179560,一颗白菜38.6元,真
274,7023244925978397983,一颗白菜38.6元,真
275,7023245555539184931,一颗白菜38.6元,真
279,7053134515258068257,上戏女学生携子闹场,假
280,6890346401767623944,上海一乘客因未戴口罩被抬出地铁车厢,真
281,6890103435056647424,上海一乘客因未戴口罩被抬出地铁车厢,真
286,6891596634208210187,上海一乘客因未戴口罩被抬出地铁车厢,真
289,3xpvhih995xmmk9,上海一乘客因未戴口罩被抬出地铁车厢,真
295,3xqd4wg3dspf9ra,上海因垃圾分类发生命案,真
296,7003728090253774115,上海因垃圾分类发生命案,真
297,3xjtcqeba4gb9wa,上海因垃圾分类发生命案,真
298,6949057632543968526,上海因垃圾分类发生命案,真
299,6876084422584585472,上海因垃圾分类发生命案,真
300,6921530276170550543,上海因垃圾分类发生命案,真
301,6711673130307423499,上海因垃圾分类发生命案,真
302,3x7f6bxg4j46cdk,上海因垃圾分类发生命案,真
304,6955367636876152077,上海地铁2号线爆炸,假
305,6877782422897822990,上海地铁2号线爆炸,假
306,3xpej2n4cvt7keu,上海大宁公园有小孩落入结冰湖面,真
307,6909367741052931341,上海大宁公园有小孩落入结冰湖面,真
309,6998406307627699467,上海大宁公园有小孩落入结冰湖面,真
311,6916048903624330500,上海大宁公园有小孩落入结冰湖面,真
312,6650031854579698948,上海大宁公园有小孩落入结冰湖面,真
313,6962719307059006757,上海大宁公园有小孩落入结冰湖面,真
314,7011435340359552268,上海女大学生扶老人被诬陷,假
315,7012377268827802895,上海女大学生扶老人被诬陷,假
316,7012226315784899881,上海女大学生扶老人被诬陷,假
317,3xh3bvqxk5dzyag,上海女大学生扶老人被诬陷,假
319,7023287644146633995,上海女大学生扶老人被诬陷,假
320,7015866922952641800,上海女大学生扶老人被诬陷,假
321,7010716223960812834,上海女大学生扶老人被诬陷,假
322,3xngtmpr3darssi,上海女大学生扶老人被诬陷,假
323,3x7rav9yzk3whvw,上海女大学生扶老人被诬陷,假
324,6862706010994248975,上海建方舱医院,真
325,3xuv9bv7uucx3n6,上海建方舱医院,真
327,3x2gz8xbnubcjzu,上海建方舱医院,真
329,6789799043749989639,上海建方舱医院,真
341,6670693135917632771,上海流浪汉毕业于复旦大学,假
343,6670698133162315021,上海流浪汉毕业于复旦大学,假
344,6672177708996349196,上海流浪汉毕业于复旦大学,假
345,6669681666606337291,上海流浪汉毕业于复旦大学,假
346,6670418901978959118,上海流浪汉毕业于复旦大学,假
347,3xbaix7rtmyz4ak,上海流浪汉毕业于复旦大学,假
348,6670080902330141956,上海流浪汉毕业于复旦大学,假
358,3xetaq3xubvsd46,上海海市蜃楼,假
376,6851398726708186376,上海男子掏鸟窝踏空身亡,真
377,3x8te6xa787myhq,上海男子掏鸟窝踏空身亡,真
378,6851503683750857988,上海男子掏鸟窝踏空身亡,真
379,7044821798168399141,上海男子掏鸟窝踏空身亡,真
380,6861848484539141384,上海男子掏鸟窝踏空身亡,真
381,6852515832187112712,上海男子掏鸟窝踏空身亡,真
382,3xc7n2yjnjv2bru,上海男子掏鸟窝踏空身亡,真
383,6944194124060888356,上海男子掏鸟窝踏空身亡,真
384,6859606107627818254,上海男子掏鸟窝踏空身亡,真
385,6859990030639828238,上海男子掏鸟窝踏空身亡,真
386,6861501869743770894,上海男子掏鸟窝踏空身亡,真
397,6693353542767463688,下雨天过横道线不可踏上斑马线的白漆面,真
398,6707438561051839756,下雨天过横道线不可踏上斑马线的白漆面,真
399,6708285613214354691,下雨天过横道线不可踏上斑马线的白漆面,真
400,6720202003189894407,下雨天过横道线不可踏上斑马线的白漆面,假
401,6875710565008821504,下雨天过横道线不可踏上斑马线的白漆面,假
402,6694947747214265608,下雨天过横道线不可踏上斑马线的白漆面,假
403,6848005225207418120,下雨天过横道线不可踏上斑马线的白漆面,真
404,6848230767944813831,下雨天过横道线不可踏上斑马线的白漆面,假
415,3xg2zthjskz768a,世界上最有骨气的鱼，一言不合立马断气,假
420,7033359367730777348,东莞73岁大爷88万彩礼娶29岁妻子,假
431,6805484074208087309,中国84艘巨轮赴海湾抄底原油,假
435,6806627068806286592,中国84艘巨轮赴海湾抄底原油,假
436,6992930408786644258,中国84艘巨轮赴海湾抄底原油,假
437,6805178488119659784,中国84艘巨轮赴海湾抄底原油,假
438,6805200989348449550,中国84艘巨轮赴海湾抄底原油,假
439,3xtavn2cwiez7fu,中国84艘巨轮赴海湾抄底原油,假
440,7027945823648435488,中国84艘巨轮赴海湾抄底原油,假
441,3xb6yajw26xiumw,中国84艘巨轮赴海湾抄底原油,假
442,7029590123297754371,中国县长夫人在美国旅游，因饭菜不合口袭警被击毙,真
443,7000946768321989901,中国县长夫人在美国旅游，因饭菜不合口袭警被击毙,真
456,7022992369045851404,中国小伙在迪拜徒手赢得38公斤重金条,假
457,7007256255601331471,中国小伙在迪拜徒手赢得38公斤重金条,假
458,7001292102290132262,中国小伙在迪拜徒手赢得38公斤重金条,假
459,3xpxazku5zy6hki,中国核潜发射全球打击的巨浪3型导弹,假
460,3xga74hk8bzbgt4,中国核潜发射全球打击的巨浪3型导弹,真
461,6959445688598023432,中国核潜发射全球打击的巨浪3型导弹,真
462,6814268707116829955,中国核潜发射全球打击的巨浪3型导弹,假
463,3xezr4htuqxmh9c,中国核潜发射全球打击的巨浪3型导弹,假
465,7025586251960945958,中国每年丢失儿童约20万仅有0.1%能找回,假
466,7018344678059724047,中国每年丢失儿童约20万仅有0.1%能找回,假
467,6702031746860453127,中国每年丢失儿童约20万仅有0.1%能找回,假
469,6603693731239431431,中国每年丢失儿童约20万仅有0.1%能找回,假
470,6746097657741118723,中国每年丢失儿童约20万仅有0.1%能找回,假
471,6958774352036891917,中国每年丢失儿童约20万仅有0.1%能找回,假
472,6870291697490840840,中国每年丢失儿童约20万仅有0.1%能找回,假
473,6964307997883403527,中国科技城绵阳将进行2021元宵烟花预演,真
474,6964369257022999849,中国科技城绵阳将进行2021元宵烟花预演,真
476,6609092980735216909,中国花100万美元买了加拿大龙卷风,假
477,6617393568547867908,中国花100万美元买了加拿大龙卷风,假
478,6683813797590863117,中国花100万美元买了加拿大龙卷风,假
479,6609129207760948487,中国花100万美元买了加拿大龙卷风,假
480,7005708253988506894,中国花100万美元买了加拿大龙卷风,假
481,7037499302746393893,中国花100万美元买了加拿大龙卷风,假
482,6614033953328205069,中国花100万美元买了加拿大龙卷风,假
483,7053548393922071823,中国花100万美元买了加拿大龙卷风,假
484,7003774950452497703,中国花100万美元买了加拿大龙卷风,假
485,6681488793100455175,中国花100万美元买了加拿大龙卷风,假
486,7005217766269619469,中国花100万美元买了加拿大龙卷风,假
487,6610821466466290958,中国花100万美元买了加拿大龙卷风,假
493,7000948535936011557,中秋微信红包有病毒,假
494,7004044204104092935,中秋微信红包有病毒,假
495,7004612252749794567,中秋微信红包有病毒,假
497,6593855966033218824,中秋微信红包有病毒,假
498,7032453438562700578,中秋微信红包有病毒,假
499,7007294950069013775,中秋微信红包有病毒,假
502,6723520593372957956,临海或发生超历史性大洪水,真
503,6723758691306327307,临海或发生超历史性大洪水,真
504,6723540942005046536,临海或发生超历史性大洪水,真
505,6724073013362412807,临海或发生超历史性大洪水,真
506,7027902340577479975,临海或发生超历史性大洪水,真
507,3xbiwhc4gr6aarm,临海或发生超历史性大洪水,真
508,3x59uvnx32kkngy,临海或发生超历史性大洪水,真
509,6724072932240379139,临海或发生超历史性大洪水,真
510,6806876094176759054,临潼发生交通事故3人死亡,真
511,6806852595315969293,临潼发生交通事故3人死亡,真
512,6806837820825619712,临潼发生交通事故3人死亡,真
513,6806817903996914948,临潼发生交通事故3人死亡,真
514,6965939071847779615,临潼发生交通事故3人死亡,真
515,6965948064905399555,临潼发生交通事故3人死亡,真
516,3xcqacxk9636cke,临潼发生交通事故3人死亡,真
517,6806911175415155980,临潼发生交通事故3人死亡,真
518,6964695121380035871,为了应付无人机和卫星地图考核喷油漆,假
519,7022913322009890051,为了应付无人机和卫星地图考核喷油漆,假
520,6719472095836884235,为了应付无人机和卫星地图考核喷油漆,假
521,6898648376951311629,为了应付无人机和卫星地图考核喷油漆,假
522,6962419458421886248,为了应付无人机和卫星地图考核喷油漆,假
523,6773597400549444877,为了应付无人机和卫星地图考核喷油漆,真
524,7006471084102978851,为了应付无人机和卫星地图考核喷油漆,假
526,6729863166571908359,为庆祝建国70周年，9月将补发养老金每人352元,假
528,6850073170922196239,为放水追女神语文考零分,假
530,6856934489415814407,丽岙街道被大水淹没,假
532,6988539797950319908,义乌三挺路台风天仍有夜市出摊,真
533,6960701115130285346,义乌三挺路台风天仍有夜市出摊,假
535,6702591963255885059,乐山大佛变小鲜肉,假
536,6683993408370904328,乐山大佛变小鲜肉,假
546,6862262999323774215,乐山还要涨水宜宾菜坝被淹,假
547,6998866339808955659,乘客拍到无人机撞碎大客机侧翼,真
548,6896644027702152455,乘客拍到无人机撞碎大客机侧翼,真
549,6902403863274425612,乘客拍到无人机撞碎大客机侧翼,假
550,6862228172075765007,九寨沟景区因泥石流临时关闭,真
551,3xn46ahfmzxpkgw,九寨沟景区因泥石流临时关闭,真
552,6862253405146975491,九寨沟景区因泥石流临时关闭,真
553,6862170451624447245,九寨沟景区因泥石流临时关闭,真
554,6862603682614185230,九寨沟景区因泥石流临时关闭,真
555,3xqwycwmnu69dki,九寨沟景区因泥石流临时关闭,真
561,7021151306094038307,九寨沟游客未买玉石被骂到抽搐,假
578,6954728923670318373,二战时期失踪的轰炸机停在月球上,假
580,6987965120089525516,二战时期失踪的轰炸机停在月球上,假
581,6862711949310856456,二战时期失踪的轰炸机停在月球上,假
583,7009838697545813260,二战时期失踪的轰炸机停在月球上,假
586,6871418953919515911,云南一中学提供变质食物，食堂系县委书记岳父承包,假
587,3x3e2d9kw3d38fc,云南一中学提供变质食物，食堂系县委书记岳父承包,真
588,3x2svp7wtrysakk,云南一中学提供变质食物，食堂系县委书记岳父承包,真
600,6804697484024139023,云南勐海象群饮酒醉倒茶园,假
601,6804741575374015752,云南勐海象群饮酒醉倒茶园,假
607,6888268465443065103,云南彝良棺材滑落致1死2伤,假
608,3xt6ngf7ijprstq,云南彝良棺材滑落致1死2伤,假
610,3xrrsjf2rsksk92,云南彝良棺材滑落致1死2伤,真
612,6888295653252828424,云南彝良棺材滑落致1死2伤,真
613,6890005271863627011,云南彝良棺材滑落致1死2伤,真
614,3xxe2t6fsuzkm3g,云南彝良棺材滑落致1死2伤,真
615,6889304880939306253,云南彝良棺材滑落致1死2伤,真
616,7037740090369625379,云南彝良棺材滑落致1死2伤,假
618,3x2mm7xmj8wpq5m,五角大楼公布的UFO视频是外星人存在的证据,假
619,7047811261353987369,五角大楼公布的UFO视频是外星人存在的证据,假
620,3xxewae5afnmura,五角大楼公布的UFO视频是外星人存在的证据,假
621,6979490643181620516,五角大楼公布的UFO视频是外星人存在的证据,假
622,6821722703318289668,五角大楼公布的UFO视频是外星人存在的证据,假
624,6971261971538742542,五角大楼公布的UFO视频是外星人存在的证据,假
625,3xgb698hr5jsyq9,五角大楼公布的UFO视频是外星人存在的证据,真
626,6821104150999272719,五角大楼公布的UFO视频是外星人存在的证据,真
627,3xx3izpfnseke8i,京山孙桥发生一起交通事故造成4死2伤,真
628,3xrw9j53ib359fc,京山孙桥发生一起交通事故造成4死2伤,真
629,3x2j4qjgpky2tfw,京山孙桥发生一起交通事故造成4死2伤,真
630,3x497g6axqey4i2,京山孙桥发生一起交通事故造成4死2伤,真
631,3xd8unj8q8q95t2,京山孙桥发生一起交通事故造成4死2伤,真
632,3x2td3pk9g35gq2,京山孙桥发生一起交通事故造成4死2伤,真
633,3xiickbjafrcsjm,京山孙桥发生一起交通事故造成4死2伤,真
634,6810364597237845256,人民币停产,假
635,6824314763397369101,人民币停产,假
636,6665860072050150659,人民币停产,假
637,6584309915597147395,人民币停产,假
638,6588057622690139396,人民币停产,假
642,6642473378819083527,今年EB流感肆虐,假
643,6643213295887060238,今年EB流感肆虐,假
644,6643257618611571982,今年EB流感肆虐,假
645,6642214705265904899,今年EB流感肆虐,假
646,6943606158175292679,今年元旦上海仅出生7个宝宝,假
651,3xtnv52edctx7gq,今年元旦上海仅出生7个宝宝,假
653,6945348680832552233,今年元旦上海仅出生7个宝宝,假
654,7053608466006510880,今年元旦上海仅出生7个宝宝,假
659,3xvdy99nxdp8agm,仙居某公交停靠站发生欺凌事件,真
661,3x3tsjvcbd8wzpi,仙居某公交停靠站发生欺凌事件,真
662,6882371254087601416,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
663,6883309663887052045,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
664,6882335565744721160,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
665,6882376493612289295,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
666,6882324874296167688,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
667,6882597499773734156,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
668,6882284651981950212,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
669,6882019900957707535,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
670,6882551291101465856,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
671,6882285474606566667,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
672,6969968631992028453,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
673,6881996672826641679,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
674,6883695293607496964,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
675,6882688817216687360,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
676,6882734940627258638,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
677,6883427969172393231,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
678,6882519280492055823,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
679,6882261368679025932,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
680,6887537198124567808,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
681,6882207314565287175,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
682,6882179308740234510,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
683,6884233572681567488,伊朗人站在山头上看阿塞拜疆和亚美尼亚两个国家打仗,假
684,6900073008388459784,伊朗核科学家遭暗杀车内视频曝光,假
685,6935428450366803230,伊朗核科学家遭暗杀车内视频曝光,假
686,6900018298834930957,伊朗核科学家遭暗杀车内视频曝光,假
687,3xstdsmuasvpwy9,伊朗核科学家遭暗杀车内视频曝光,假
688,3xdbu5uxz57diks,伊朗核科学家遭暗杀车内视频曝光,假
689,3xtnkcm8527zeh4,伊朗核科学家遭暗杀车内视频曝光,假
690,6900421259419487495,伊朗核科学家遭暗杀车内视频曝光,真
691,7027846689465568520,伊朗核科学家遭暗杀车内视频曝光,假
692,3xryb33gbmepdes,伊朗核科学家遭暗杀车内视频曝光,假
695,7035206290636836096,体育馆小孩3岁被大狗把半边脸咬伤,假
696,3xhg6rkhqhrzd2c,体育馆小孩3岁被大狗把半边脸咬伤,假
697,7000234313220476167,体育馆小孩3岁被大狗把半边脸咬伤,假
698,6841313813887831296,体育馆小孩3岁被大狗把半边脸咬伤,假
